Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
352,Panagiotis Retsos,gr GRE,DF,Olympiacos,26,1998,26,26,"2,267",25.2,2,0,2,2,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
353,Adrián Riera,es ESP,"MF,FW",Panserraikos,29,1996,19,16,"1,347",15,2,2,4,2,0,0,2,0,0.13,0.13,0.27,0.13,0.27,Matches
354,Rodinei,br BRA,"DF,MF",Olympiacos,33,1992,24,17,"1,675",18.6,4,3,7,4,0,0,3,0,0.21,0.16,0.38,0.21,0.38,Matches
355,Thiago Romano,ar ARG,MF,OFI Crete,19,2006,5,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
356,Lindsay Rose,mu MRI,DF,Aris,33,1992,19,15,"1,408",15.6,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
357,Lazar Rosić,rs SRB,DF,Larissa,32,1993,7,7,549,6.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
358,Llazaros Rota,gr GRE,DF,AEK Athens,27,1997,29,29,"2,596",28.8,0,6,6,0,0,0,8,0,0,0.21,0.21,0,0.21,Matches
359,Konstantinos Roukounakis,gr GRE,MF,AE Kifisia,24,2001,17,11,"1,034",11.5,1,0,1,1,0,0,5,1,0.09,0,0.09,0.09,0.09,Matches
360,Viktor Roumniachiev,gr GRE,MF,Panserraikos,21,2004,11,5,361,4,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
361,Ángelo Sagal,cl CHI,"MF,FW",Larissa,32,1993,28,22,"1,896",21.1,6,3,9,5,1,1,7,1,0.28,0.14,0.43,0.24,0.38,Matches
362,Hakim Sahabo,rw RWA,MF,AEK Athens,20,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
363,Viktor Sakalidis,gr GRE,GK,Panserraikos,22,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
364,Eddie Salcedo,it ITA,FW,OFI Crete,23,2001,26,22,"1,864",20.7,10,2,12,9,1,1,8,0,0.48,0.1,0.58,0.43,0.53,Matches
365,Renato Sanches,pt POR,MF,Panathinaikos,27,1997,14,5,602,6.7,1,1,2,1,0,0,1,0,0.15,0.15,0.3,0.15,0.3,Matches
366,Jorge Sánchez,mx MEX,DF,PAOK,27,1997,10,7,633,7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
367,Panagiotis Santis,gr GRE,FW,Volos N.F.C.,18,2007,1,1,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
368,Joan Sastre Vanrell,es ESP,DF,PAOK,28,1997,8,7,562,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Giannis Satsias,cy CYP,"MF,DF",Panetolikos,22,2002,13,6,619,6.9,0,1,1,0,0,0,2,1,0,0.15,0.15,0,0.15,Matches
370,Apostolos Savidis,gr GRE,MF,Panserraikos,15,2009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
371,Manolis Sbokos,gr GRE,DF,AE Kifisia,22,2003,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Lorenzo Scipioni,ar ARG,MF,Olympiacos,20,2004,18,9,808,9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
373,Christos Shelis,cy CYP,DF,Panetolikos,25,2000,28,26,"2,324",25.8,0,1,1,0,0,0,7,0,0,0.04,0.04,0,0.04,Matches
374,Levan Shengelia,ge GEO,MF,OFI Crete,29,1995,30,23,"1,972",21.9,2,3,5,2,0,0,4,1,0.09,0.14,0.23,0.09,0.23,Matches
375,Marios Siampanis,gr GRE,GK,Volos N.F.C.,25,1999,27,27,"2,430",27,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
