,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
132,Mario Engels,de GER,MF,Heracles Almelo,31,1993,24,11,"1,002",11.1,1,2,3,1,0,0,4,1,0.09,0.18,0.27,0.09,0.27,Matches
133,Alonzo Engwanda,be BEL,MF,Utrecht,22,2003,34,34,"2,918",32.4,0,1,1,0,0,0,4,0,0,0.03,0.03,0,0.03,Matches
134,Silvinho Esajas,sr SUR,MF,Volendam,23,2002,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Jan Faberski,pl POL,"MF,FW",Zwolle,19,2006,18,4,477,5.3,0,2,2,0,0,0,1,1,0,0.38,0.38,0,0.38,Matches
136,Derensili Fernandes,nl NED,"MF,FW",Excelsior,24,2001,33,30,"2,484",27.6,6,3,9,6,0,0,0,0,0.22,0.11,0.33,0.22,0.33,Matches
137,Noah Fernandez,be BEL,"MF,DF",PSV,17,2008,10,4,372,4.1,1,0,1,1,0,0,2,0,0.24,0,0.24,0.24,0.24,Matches
138,Nick Fichtinger,nl NED,MF,Zwolle,21,2004,20,5,764,8.5,0,1,1,0,0,0,5,1,0,0.12,0.12,0,0.12,Matches
139,Kian Fitz-Jim,nl NED,MF,Ajax,22,2003,17,4,524,5.8,1,0,1,1,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
140,Ryan Flamingo,nl NED,DF,PSV,22,2002,33,15,"1,676",18.6,3,1,4,3,0,0,4,0,0.16,0.05,0.21,0.16,0.21,Matches
141,Sherel Floranus,cw CUW,DF,Zwolle,26,1998,32,32,"2,794",31,1,3,4,1,0,0,5,0,0.03,0.1,0.13,0.03,0.13,Matches
142,Deveron Fonville,cw CUW,DF,NEC Nijmegen,22,2003,29,13,"1,470",16.3,0,2,2,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches
143,Ryan Fosso,ch SUI,"MF,DF",Fortuna Sittard,23,2002,17,17,"1,511",16.8,0,1,1,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
144,Anton Gaaei,dk DEN,DF,Ajax,22,2002,26,19,"1,793",19.9,1,4,5,1,0,0,3,0,0.05,0.2,0.25,0.05,0.25,Matches
145,Jadiel Pereira da Gama,nl NED,MF,Zwolle,15,2009,10,1,199,2.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
146,Anselmo García MacNulty,ie IRL,DF,Zwolle,22,2003,32,32,"2,843",31.6,2,0,2,2,0,0,6,1,0.06,0,0.06,0.06,0.06,Matches
147,Yarek Gasiorowski,es ESP,DF,PSV,20,2005,28,25,"2,145",23.8,3,2,5,3,0,0,0,0,0.13,0.08,0.21,0.13,0.21,Matches
148,Stijn van Gassel,nl NED,GK,Excelsior,28,1996,32,32,"2,819",31.3,0,1,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
149,Moussa Gbemou,be BEL,MF,Fortuna Sittard,17,2007,3,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Brahim Ghalidi,be BEL,MF,NAC Breda,20,2005,10,1,274,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Tristan van Gilst,nl NED,MF,Heracles Almelo,22,2003,28,13,"1,262",14,2,0,2,2,0,0,3,0,0.14,0,0.14,0.14,0.14,Matches
152,Paul Gladon,nl NED,FW,Fortuna Sittard,33,1992,31,5,988,11,5,1,6,5,0,0,2,1,0.46,0.09,0.55,0.46,0.55,Matches
153,Oscar Gloukh,il ISR,"MF,FW",Ajax,21,2004,29,16,"1,559",17.3,6,6,12,6,0,0,3,0,0.35,0.35,0.69,0.35,0.69,Matches
154,Mika Godts,be BEL,"FW,MF",Ajax,20,2005,32,30,"2,676",29.7,17,12,29,17,0,0,2,0,0.57,0.4,0.98,0.57,0.98,Matches
155,Wouter Goes,nl NED,DF,AZ Alkmaar,21,2004,33,32,"2,745",30.5,1,0,1,1,0,0,9,0,0.03,0,0.03,0.03,0.03,Matches
156,Roberto González,es ESP,MF,NEC Nijmegen,24,2001,3,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Tristan Gooijer,nl NED,DF,Zwolle,20,2004,23,17,"1,369",15.2,3,0,3,3,0,0,3,1,0.2,0,0.2,0.2,0.2,Matches
158,Kenzo Goudmijn,nl NED,MF,Go Ahead Eagles,23,2001,16,11,759,8.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
159,Tom de Graaff,nl NED,GK,Zwolle,20,2004,31,31,"2,790",31,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
