,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Mitchel Frame,sct SCO,"DF,MF",Aberdeen,19,2006,11,9,804,8.9,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
127,Marcus Fraser,sct SCO,DF,St Mirren,31,1994,31,29,"2,521",28,1,0,1,0,1,2,6,0,0.04,0,0.04,0,0,Matches
128,Miguel Freckleton,eng ENG,DF,St Mirren,22,2002,37,37,"3,285",36.5,4,1,5,4,0,0,7,0,0.11,0.03,0.14,0.11,0.14,Matches
129,Munashe Garan'anga,zw ZIM,DF,Hibernian,24,2001,2,2,168,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
130,César Garza,mx MEX,MF,Dundee,20,2005,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Djeidi Gassama,mr MTN,"MF,FW",Rangers,21,2003,38,26,"2,424",26.9,3,5,8,3,0,0,4,0,0.11,0.19,0.3,0.11,0.3,Matches
132,Dennis Geiger,de GER,MF,Aberdeen,27,1998,12,11,906,10.1,1,1,2,1,0,0,5,0,0.1,0.1,0.2,0.1,0.2,Matches
133,Shamal George,eng ENG,GK,St Mirren,27,1998,33,33,"2,886",32.1,0,1,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches
134,Keir Gilligan,sct SCO,MF,Dundee United,,,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Alex Gogić,cy CYP,"DF,MF",St Mirren,31,1994,33,33,"2,962",32.9,2,1,3,2,0,0,12,1,0.06,0.03,0.09,0.06,0.09,Matches
136,Craig Gordon,sct SCO,GK,Hearts,42,1982,3,2,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Liam Gordon,sct SCO,DF,Motherwell,29,1996,17,10,997,11.1,1,0,1,1,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches
138,Brian Graham,sct SCO,FW,Falkirk,37,1987,24,7,787,8.7,4,0,4,3,1,1,2,0,0.46,0,0.46,0.34,0.34,Matches
139,Luke Graham,sct SCO,DF,Dundee,21,2004,36,35,"3,128",34.8,2,1,3,2,0,0,3,0,0.06,0.03,0.09,0.06,0.09,Matches
140,Ross Graham,sct SCO,DF,Dundee United,24,2001,21,20,"1,824",20.3,2,0,2,2,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches
141,Emmanuel Gyamfi,de GER,"MF,DF",Aberdeen,21,2004,13,12,942,10.5,1,0,1,1,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches
142,Craig Halkett,sct SCO,DF,Hearts,30,1995,30,30,"2,531",28.1,4,0,4,4,0,0,9,1,0.14,0,0.14,0.14,0.14,Matches
143,Andy Halliday,sct SCO,"DF,MF",Motherwell,33,1991,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Brad Halliday,eng ENG,"DF,MF",Dundee,30,1995,10,9,671,7.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
145,Ethan Hamilton,sct SCO,MF,Dundee,26,1998,33,33,"2,954",32.8,1,0,1,1,0,0,9,0,0.03,0,0.03,0.03,0.03,Matches
146,Grant Hanley,sct SCO,DF,Hibernian,33,1991,24,23,"1,928",21.4,0,0,0,0,0,0,2,2,0,0,0,0,0,Matches
147,Samuel Harding,sct SCO,DF,Dundee United,19,2006,8,7,643,7.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
148,Sam Hart,eng ENG,DF,Falkirk,28,1996,9,4,391,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
149,Reo Hatate,jp JPN,MF,Celtic,27,1997,30,19,"1,732",19.2,2,2,4,2,0,1,5,0,0.1,0.1,0.21,0.1,0.21,Matches
150,Ashley Hay,eng ENG,FW,Dundee,22,2003,29,12,"1,328",14.8,4,1,5,4,0,0,0,0,0.27,0.07,0.34,0.27,0.34,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
